item_id,display_name,category,subcategory,required,obtained,has_stack,pct,obtain_method,difficulty,notes
minecraft:milk_bucket,Milk Bucket,Tools,Container,1,0,False,0.0,Use bucket on cow,,
minecraft:powder_snow_bucket,Powder Snow Bucket,Tools,Container,1,0,False,0.0,Use bucket on powder snow,,
minecraft:axolotl_bucket,Axolotl Bucket,Tools,Container,1,0,False,0.0,Scoop up axolotl,,Lush Caves
minecraft:cod_bucket,Cod Bucket,Tools,Container,1,0,False,0.0,Scoop up cod,,
minecraft:salmon_bucket,Salmon Bucket,Tools,Container,1,0,False,0.0,Scoop up salmon,,
minecraft:tropical_fish_bucket,Tropical Fish Bucket,Tools,Container,1,0,False,0.0,Scoop up tropical fish,,
minecraft:pufferfish_bucket,Pufferfish Bucket,Tools,Container,1,0,False,0.0,Scoop up pufferfish,,
minecraft:tadpole_bucket,Tadpole Bucket,Tools,Container,1,0,False,0.0,Scoop up tadpole,,Swamp
minecraft:wooden_sword,Wooden Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:stone_sword,Stone Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:iron_sword,Iron Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:golden_sword,Golden Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:diamond_sword,Diamond Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:netherite_sword,Netherite Sword,Weapons,Sword,1,0,False,0.0,Craft,,
minecraft:bow,Bow,Weapons,Ranged,1,0,False,0.0,Craft,,
minecraft:crossbow,Crossbow,Weapons,Ranged,1,0,False,0.0,Craft,,
minecraft:arrow,Arrow,Weapons,Ammo,64,0,False,0.0,Craft / Skeleton drop,,
minecraft:spectral_arrow,Spectral Arrow,Weapons,Ammo,64,0,False,0.0,Craft,,Requires glowstone
minecraft:trident,Trident,Weapons,Special,1,0,False,0.0,Drowned drop,,~8.5% chance
minecraft:mace,Mace,Weapons,Special,1,0,False,0.0,Craft,,Heavy Core from Ominous Vault + Breeze Rod
minecraft:leather_helmet,Leather Helmet,Armor,Leather,1,0,False,0.0,Craft,,
minecraft:leather_chestplate,Leather Chestplate,Armor,Leather,1,0,False,0.0,Craft,,
minecraft:leather_leggings,Leather Leggings,Armor,Leather,1,0,False,0.0,Craft,,
minecraft:leather_boots,Leather Boots,Armor,Leather,1,0,False,0.0,Craft,,
minecraft:chainmail_helmet,Chainmail Helmet,Armor,Chainmail,1,0,False,0.0,Trade / Chest,,Cannot craft
minecraft:chainmail_chestplate,Chainmail Chestplate,Armor,Chainmail,1,0,False,0.0,Trade / Chest,,Cannot craft
minecraft:chainmail_leggings,Chainmail Leggings,Armor,Chainmail,1,0,False,0.0,Trade / Chest,,Cannot craft
minecraft:chainmail_boots,Chainmail Boots,Armor,Chainmail,1,0,False,0.0,Trade / Chest,,Cannot craft
minecraft:iron_helmet,Iron Helmet,Armor,Iron,1,0,False,0.0,Craft,,
minecraft:iron_chestplate,Iron Chestplate,Armor,Iron,1,0,False,0.0,Craft,,
minecraft:iron_leggings,Iron Leggings,Armor,Iron,1,0,False,0.0,Craft,,
minecraft:iron_boots,Iron Boots,Armor,Iron,1,0,False,0.0,Craft,,
minecraft:golden_helmet,Golden Helmet,Armor,Gold,1,0,False,0.0,Craft,,
minecraft:golden_chestplate,Golden Chestplate,Armor,Gold,1,0,False,0.0,Craft,,
minecraft:golden_leggings,Golden Leggings,Armor,Gold,1,0,False,0.0,Craft,,
minecraft:golden_boots,Golden Boots,Armor,Gold,1,0,False,0.0,Craft,,
minecraft:diamond_helmet,Diamond Helmet,Armor,Diamond,1,0,False,0.0,Craft,,
minecraft:diamond_chestplate,Diamond Chestplate,Armor,Diamond,1,0,False,0.0,Craft,,
minecraft:diamond_leggings,Diamond Leggings,Armor,Diamond,1,0,False,0.0,Craft,,
minecraft:diamond_boots,Diamond Boots,Armor,Diamond,1,0,False,0.0,Craft,,
minecraft:netherite_helmet,Netherite Helmet,Armor,Netherite,1,0,False,0.0,Upgrade diamond,,
minecraft:netherite_chestplate,Netherite Chestplate,Armor,Netherite,1,0,False,0.0,Upgrade diamond,,
minecraft:netherite_leggings,Netherite Leggings,Armor,Netherite,1,0,False,0.0,Upgrade diamond,,
minecraft:netherite_boots,Netherite Boots,Armor,Netherite,1,0,False,0.0,Upgrade diamond,,
minecraft:turtle_helmet,Turtle Helmet,Armor,Special,1,0,False,0.0,Craft,,Scute from baby turtle
minecraft:elytra,Elytra,Armor,Special,1,0,False,0.0,End City chest,,One per End Ship
minecraft:stick,Stick,Materials,Basic,64,0,False,0.0,Craft,,
minecraft:string,String,Materials,Basic,64,0,False,0.0,Spider drop / Cobweb,,
minecraft:feather,Feather,Materials,Basic,64,0,False,0.0,Chicken drop,,
minecraft:flint,Flint,Materials,Basic,64,0,False,0.0,Gravel drop,,
minecraft:gunpowder,Gunpowder,Materials,Basic,64,0,False,0.0,Creeper / Ghast drop,,
minecraft:bone,Bone,Materials,Basic,64,0,False,0.0,Skeleton drop,,
minecraft:bone_meal,Bone Meal,Materials,Basic,64,0,False,0.0,Craft / Composter,,
minecraft:leather,Leather,Materials,Basic,64,0,False,0.0,Cow / Horse kill,,
minecraft:wool,Wool (White),Materials,Wool,64,0,False,0.0,Shear / Kill sheep,,Other colors below
minecraft:ink_sac,Ink Sac,Materials,Dye,64,0,False,0.0,Squid kill,,
minecraft:glow_ink_sac,Glow Ink Sac,Materials,Dye,64,0,False,0.0,Glow Squid kill,,
minecraft:cocoa_beans,Cocoa Beans,Materials,Dye,64,0,False,0.0,Cocoa pods — Jungle,,
minecraft:lapis_lazuli,Lapis Lazuli,Materials,Dye,64,0,False,0.0,Mine / Craft,,
minecraft:coal,Coal,Materials,Fuel,64,0,False,0.0,Mine / Kill,,
minecraft:charcoal,Charcoal,Materials,Fuel,64,0,False,0.0,Smelt wood,,
minecraft:raw_iron,Raw Iron,Materials,Raw,64,0,False,0.0,Mine,,
minecraft:raw_copper,Raw Copper,Materials,Raw,64,0,False,0.0,Mine,,
minecraft:raw_gold,Raw Gold,Materials,Raw,64,0,False,0.0,Mine,,
minecraft:iron_ingot,Iron Ingot,Materials,Ingot,64,0,False,0.0,Smelt / Craft,,
minecraft:copper_ingot,Copper Ingot,Materials,Ingot,64,0,False,0.0,Smelt,,
minecraft:gold_ingot,Gold Ingot,Materials,Ingot,64,0,False,0.0,Smelt,,
minecraft:diamond,Diamond,Materials,Gem,64,0,False,0.0,Mine,,
minecraft:emerald,Emerald,Materials,Gem,64,0,False,0.0,Mine / Trade,,
minecraft:amethyst_shard,Amethyst Shard,Materials,Gem,64,0,False,0.0,Mine amethyst cluster,,
minecraft:quartz,Nether Quartz,Materials,Nether,64,0,False,0.0,Mine,,
minecraft:netherite_ingot,Netherite Ingot,Materials,Nether,64,0,False,0.0,Craft,,4 netherite scrap + 4 gold
minecraft:netherite_scrap,Netherite Scrap,Materials,Nether,64,0,False,0.0,Smelt ancient debris,,
minecraft:blaze_rod,Blaze Rod,Materials,Nether,64,0,False,0.0,Blaze kill,,
minecraft:blaze_powder,Blaze Powder,Materials,Nether,64,0,False,0.0,Craft,,
minecraft:ghast_tear,Ghast Tear,Materials,Nether,64,0,False,0.0,Ghast kill,,
minecraft:magma_cream,Magma Cream,Materials,Nether,64,0,False,0.0,Magma Cube kill / Craft,,
minecraft:nether_wart,Nether Wart,Materials,Nether,64,0,False,0.0,Nether Fortress,,
minecraft:nether_star,Nether Star,Materials,Boss,1,0,False,0.0,Kill Wither,,Hardcore high risk
minecraft:ender_pearl,Ender Pearl,Materials,End,16,0,False,0.0,Enderman kill / Trade,,
minecraft:ender_eye,Eye of Ender,Materials,End,64,0,False,0.0,Craft,,
minecraft:dragon_egg,Dragon Egg,Materials,Boss,1,0,False,0.0,Kill Ender Dragon,,One per world
minecraft:dragon_breath,Dragon's Breath,Materials,Boss,64,0,False,0.0,Use bottle on Ender Dragon breath,,
minecraft:shulker_shell,Shulker Shell,Materials,End,64,0,False,0.0,Shulker kill,,~50% drop chance
minecraft:prismarine_shard,Prismarine Shard,Materials,Ocean,64,0,False,0.0,Guardian kill,,
minecraft:prismarine_crystals,Prismarine Crystals,Materials,Ocean,64,0,False,0.0,Guardian kill,,
minecraft:sponge,Sponge,Materials,Ocean,64,0,False,0.0,Elder Guardian kill / Ocean Monument,,
minecraft:scute,Scute,Materials,Special,64,0,False,0.0,Baby turtle growing up,,Breed turtles
minecraft:heart_of_the_sea,Heart of the Sea,Materials,Special,1,0,False,0.0,Buried Treasure,,One per treasure
minecraft:nautilus_shell,Nautilus Shell,Materials,Special,64,0,False,0.0,Drowned drop / Fishing / Wandering Trader,,
minecraft:phantom_membrane,Phantom Membrane,Materials,Special,64,0,False,0.0,Phantom kill,,Sleep deprivation mechanic
minecraft:rabbit_hide,Rabbit Hide,Materials,Basic,64,0,False,0.0,Kill rabbit,,
minecraft:rabbit_foot,Rabbit Foot,Materials,Special,64,0,False,0.0,Kill rabbit,,Low drop rate
minecraft:slime_ball,Slimeball,Materials,Basic,64,0,False,0.0,Slime kill,,Swamp / Y<40
minecraft:spider_eye,Spider Eye,Materials,Basic,64,0,False,0.0,Spider kill,,
minecraft:fermented_spider_eye,Fermented Spider Eye,Materials,Brewing,64,0,False,0.0,Craft,,
